Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
70193200,Thin sheets (voiles) of glass fibres,13066277,Kilogram,0,?,"23,679,915"
70193910,Matresses of glass fibres,10161785,Kilogram,0,?,"22,189,399"
70193990,"Webs,boards and the similar nonwoven products of glass fibres,nes",188772616,Kilogram,0,?,"317,098,529"
70194000,Woven fabrics of glass rovings,46487239,Kilogram,0,?,"56,937,537"
70195100,"Other woven fabrics of glass fibres, width ¡Ü 30cm",5221159,Kilogram,0,?,"16,894,739"
70195200,"Oth woven fabrics of glass fib, w>30cm,<250g/m2, single yarn¡Ü136tex",28986411,Kilogram,0,?,"80,704,967"
70195900,"Woven fabrics of glass fibres, nes",110874947,Kilogram,0,?,"252,861,345"
70199010,Glass wool and articles thereof,38281711,Kilogram,0,?,"107,410,534"
70199021,"Impregnated glass fabrics, weight£¼450g/?",22338937,Kilogram,0,?,"132,412,559"
70199029,"Impregnated glass fabrics, weight¡Ý450g/?",1818844,Kilogram,0,?,"17,308,232"
70199090,Glass fibres (including glass wool) & articles thereof nes,96582309,Kilogram,0,?,"433,050,210"
70200011,"Conductivity glass, for technical uses",28475805,Kilogram,0,?,"42,666,740"
70200012,"Glass umbrella for insulator, for technical uses",3258350,Kilogram,0,?,"3,321,459"
70200013,"Articles of glass of fused quartz/other fused silica, for technical use",6254185,Kilogram,0,?,"134,867,437"
70200019,"Other articles of glass, for technical uses",5120811,Kilogram,0,?,"46,040,468"
70200091,Glass inners for vacuum flasks or other vacuum vessels,13587213,Kilogram,36778081,Number of item,"26,921,127"
70200099,"Other articles of glass, nes",73977791,Kilogram,0,?,"457,817,648"
71011099,"Other pearls, natural, graded",219,Gram,0,?,"5,267"
71012110,"Pearls cultured unworked, not graded",1,Kilogram,0,?,"33,736"
71012190,"Pearls cultured unworked, graded",2120,Kilogram,0,?,"36,520"
71012210,"Pearls cultured worked, not graded",42257,Kilogram,0,?,"3,967,826"
71012290,"Pearls cultured worked, graded",68372,Kilogram,0,?,"12,134,977"
71022900,Diamonds industrial nes excluding mounted or set diamonds,9476,Carat,0,?,"299,996"
71023100,"Diamonds non-industrial unworked or simply sawn, cleaved or bruted",110852,Carat,0,?,"95,605,897"
71023900,Diamonds non-industrial nes excluding mounted or set diamonds,782621,Carat,0,?,"1,011,292,805"
71031000,Prec or semi-prec stones (o/t diamonds) unwkd or smp. sawn or rough shpd,1168253,Kilogram,0,?,"2,293,172"
71039100,"Rubies/sapphires/emeralds, otherwise worked",368176,Carat,0,?,"48,257,990"
71039910,"Jadeites, further worked than sawn or rough shaped",213171,Carat,0,?,"998,932"
71039920,"Crystal, further worked than sawn or rough shaped",31463486,Carat,0,?,"704,730"
71039930,"Tourmaline, further worked than sawn or rough shaped",14563,Carat,0,?,"679,506"
71039940,"Nephrite, further worked than sawn or rough shaped",1623883,Carat,0,?,"197,464"
71039990,"Other precious or semi-precious stones, nes, further worked",99898169,Carat,0,?,"4,456,504"
71041000,Piezo-electric quartz whether or not worked or graded,19639392,Gram,0,?,"30,986,737"
71042010,"Diamonds, unwkd or graded",165939,Gram,0,?,"75,850,260"
71042090,Syn or reconstr prec/semi-prec stones unwkd or simpl sawn/shaped,210181857,Gram,0,?,"13,621,675"
71049011,"Diamonds, further worked, for technical use",934633,Gram,0,?,"128,298,323"
71049012,"Sapphires, further worked, for technical use",221779577,Gram,0,?,"101,037,475"
71049019,"Syn/reconstr prec/semi-prec stones, furthr wkd, for technical use",3154211,Gram,0,?,"648,804"
71049091,"Diamonds, further worked, not for technical use",11911,Gram,0,?,"39,775,482"
71049099,"Syn/reconstr prec/semi-prec stones, furthr wkd, not for techncl use",101310793,Gram,0,?,"10,999,704"
71051010,Crude diamond dust or powder,2000,Carat,0,?,"1,376"
71051020,Got-up diamond dust or powder,3228142568,Carat,0,?,"133,194,986"
71059000,Precious or semi-precious stone dust & powder nes,47268952,Gram,0,?,"5,284,412"
71061011,"Silver powder,non flake,Average D?3¦Ì",8094700,Gram,0,?,"6,190,615"
71061019,"Other silver powder,non flake",70500,Gram,0,?,"8,394"
71061021,"Other silver powder,flake,Average D?10¦Ì",1862824,Gram,0,?,"1,490,450"
71069110,"Unwrought silver, purity¡Ý99.99%",3552287502,Gram,0,?,"2,442,370,360"
71069190,Other unwrought silver,20002460,Gram,0,?,"15,239,083"
71069210,"Silver in semi-manufactured forms, purity>= 99.99%",99532,Gram,0,?,"191,308"
71069290,"Silver in other semi-manufactured forms, nes",5189711,Gram,0,?,"2,381,219"
71070000,"Base metals clad with silver, semi-manufactured",24512,Kilogram,0,?,"4,138,954"
71081200,Gold in unwrought forms non-monetary,58215676,Gram,0,?,"3,261,379,977"
71081300,"Gold in oth semi-manufactured forms,non-monetary",5010962,Gram,0,?,"283,635,078"
71090000,"Base metals or silver, clad with gold, semi-manufactured",94266,Gram,0,?,"67,416"
71101100,Platinum unwrought or in powder form,3369786,Gram,0,?,"107,270,863"
71101990,Platinum in semi-manufactured forms other than plates or sheets,5595,Gram,0,?,"189,241"
71102100,Palladium unwrought or in powder form,2105920,Gram,0,?,"172,291,727"
71102990,Palladium in semi-manufactured forms other than plates or sheets,118754,Gram,0,?,"850,152"
71103100,Rhodium unwrought or in powder form,140,Gram,0,?,"37,773"
71104100,"Iridium, osmium & ruthenium unwrought or in powder form",145108,Gram,0,?,"1,229,551"
71104910,"Iridium, osmium & ruthenium plates and sheets",583,Gram,0,?,"5,241"
71104990,"Iridium, osmium & ruthenium in other semi-manufactured forms, nes",65,Gram,0,?,"16,006"
